state,year,enroll,total_revenue,federal_revenue,state_revenue,local_revenue,total_expenditure,instruction_expenditure,support_services_expenditure,other_expenditure,capital_outlay_expenditure,avg_attendence_elem_secd_schools,teachers_elem_secd_schools,high_school_completers_18_to_24,bachelor_completers_over_25,pupil_teacher_ratio,pub_high_school_graduates,expenditure_per_pupil,edu_expenditure_percent_gov_income,population,gdp_per_capita,state_tax_collection,income_per_capita,known_property_crimes,unemployment_rate
North Carolina,2001,1277013.0,9670620,661215,6065716,2943689,9807815,5187906,2587298,508494.0,1307270,1225681.0,,,,,,6817.0621396999995,0.25,8210121.999999999,42388,723635000.0,27759,357050.0,0.05491666666666667
North Dakota,2001,108788.0,818139,102694,301755,413690,814838,419201,218137,58449.0,57760,100028.0,,,,,,6466.9739991999995,0.171,639062.0,35939,63390000.0,26659,13804.0,0.029333333333333333
Ohio,2001,1821546.0,16693845,956899,7088781,8648165,16282257,8001840,5327100,769489.0,1712711,1654816.0,,,,,,8403.4116309,0.188,11387403.999999998,41941,663376000.0,29237,372990.0,0.043
Oklahoma,2001,623110.0,4257128,419762,2394346,1443020,4288405,2119420,1386368,417849.0,322947,580894.0,,,,,,6458.0559669,0.23800000000000002,3467100.0,35162,167222000.0,25355,141664.0,0.036500000000000005
Oregon,2001,544756.0,4561948,327582,2565977,1668389,4715944,2435402,1553819,160650.0,419442,483038.0,,,,,,8545.0376021,0.13699999999999998,3467937.0,37161,322651000.0,28932,163201.0,0.06425
Pennsylvania,2001,1771473.0,17792997,1083862,6305118,10404017,18666522,9182658,5142302,708895.0,1869506,1691123.0,,,,,,8847.1066073,0.188,12298970.0,42458,1389458000.0,31359,271426.0,0.048
Rhode Island,2001,156275.0,1592622,88341,663991,840290,1504125,920848,464571,49573.0,27392,145330.0,,,,,,10115.623734,0.158,1057142.0,41989,77998000.0,31679,35742.0,0.04558333333333333
South Carolina,2001,676681.0,5437615,430966,2924025,2082624,5492539,2660503,1545738,297845.0,843817,628510.0,,,,,,7210.438735899999,0.212,4064995.0,35902,192070000.0,25527,184518.0,0.05208333333333333
South Dakota,2001,127986.0,886661,104645,316617,465399,950595,471683,265808,39681.0,143663,118919.0,,,,,,6581.4610304,0.128,757972.0,36327,43387000.0,27832,14104.0,0.03091666666666667
Tennessee,2001,895839.0,5560822,494851,2494453,2571518,6165661,3282993,1556508,323329.0,868777,849413.0,,,,,,6107.5811912,0.175,5750789.000000001,38631,673465000.0,27653,252379.0,0.045750000000000006
