"region","series","Unit","Date","Value"
"Georgia","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1995","653296"
"Georgia","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1996","719400"
"Georgia","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1997","726321"
"Georgia","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1998","739738"
"Georgia","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1999","793173"
"Georgia","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2000","712421"
"Georgia","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2001","691473"
"Georgia","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2002","568080"
"Georgia","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2003","484139"
"Georgia","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2004","494701"
"Georgia","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2005","712310"
"Georgia","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2006","890732"
"Georgia","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2007","1017187"
"Georgia","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2008","943042"
"Georgia","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2009","694717"
"Georgia","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2010","684701"
"Georgia","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2011","670410"
"Georgia","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2012","590676"
"Georgia","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2013","797255"
"Georgia","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2014","943806"
"Georgia","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2015","1000536"
"Georgia","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2016","981002"
"Hawaii","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1992","67768"
"Hawaii","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1993","53127"
"Hawaii","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1994","68429"
"Hawaii","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1995","47296"
"Hawaii","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1996","65547"
"Hawaii","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1997","67570"
"Hawaii","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1998","61755"
"Hawaii","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1999","52414"
"Hawaii","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2000","75271"
"Hawaii","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2001","60499"
"Hawaii","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2002","52640"
"Hawaii","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2003","30603"
"Hawaii","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2004","58119"
"Hawaii","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2005","124125"
"Hawaii","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2006","148084"
"Hawaii","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2007","100847"
"Hawaii","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2008","105294"
"Hawaii","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2009","78597"
"Hawaii","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2010","79853"
"Hawaii","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2011","67859"
"Hawaii","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2012","80256"
"Hawaii","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2013","123661"
"Hawaii","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2014","126045"
"Hawaii","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2015","72249"
"Hawaii","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","2016","108169"
"Idaho","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1992","68171"
"Idaho","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1993","83551"
"Idaho","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1994","90061"
"Idaho","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1995","129470"
"Idaho","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1996","152735"
"Idaho","State Government Tax Collections, Corporation Net Income Taxes, NSA","Thous. of $","1997","138277"
